time_period,characteristic_group,characteristic,gender,no_schools,t_rwm_eligible_pupils,t_rwm_met_expected_standard,t_rwm_met_higher_standard,t_read_eligible_pupils,t_read_met_expected_standard,t_read_met_higher_standard,t_read_not_achieved_expected_standard,t_read_working_below_assessment,t_read_absent,t_read_unable_to_access_or_just_arrived,t_read_unable_to_access,t_read_avg_scaled_score_eligible_pupils,t_read_sum_scaled_scores,t_read_progress_eligible_pupils,t_read_progress_score,t_gps_eligible_pupils,t_gps_met_expected_standard,t_gps_met_higher_standard,t_gps_not_achieved_expected_standard,t_gps_working_below_assessment,t_gps_absent,t_gps_unable_to_access_or_just_arrived,t_gps_unable_to_access,t_gps_avg_scaled_score_eligible_pupils,t_gps_sum_scaled_scores,t_mat_eligible_pupils,t_mat_met_expected_standard,t_mat_met_higher_standard,t_mat_not_achieved_expected_standard,t_mat_working_below_assessment,t_mat_absent,t_mat_unable_to_access_or_just_arrived,t_mat_unable_to_access,t_mat_avg_scaled_score_eligible_pupils,t_mat_sum_scaled_scores,t_mat_progress_eligible_pupils,t_mat_progress_score,t_writta_eligible_pupils,t_writta_met_expected_standard,t_writta_met_higher_standard,t_writta_working_towards_expected_standard,t_writta_pre_key_stage_standard_6,t_writta_pre_key_stage_standard_5,t_writta_pre_key_stage_standard_4,t_writta_pre_key_stage_standard_3,t_writta_pre_key_stage_standard_2,t_writta_pre_key_stage_standard_1,t_writta_growing_development_of_expected_standard,t_writta_early_development_of_expected_standard,t_writta_foundations_of_expected_standard,t_writta_engagement_model_or_below_pre_key_stage_standards,t_writta_below_interim_pre_key_stage_standards,t_writta_absent,t_writta_disapplied,t_writta_progress_eligible_pupils,t_writta_progress_score,t_scita_eligible_pupils,t_scita_met_expected_standard,t_scita_not_met_expected_standard,t_scita_absent,t_scita_disapplied,pt_rwm_met_expected_standard,pt_rwm_met_higher_standard,pt_read_met_expected_standard,pt_read_met_higher_standard,pt_read_not_achieved_expected_standard,pt_read_working_below_assessment,pt_read_absent,pt_read_unable_to_access_or_just_arrived,pt_read_unable_to_access,avg_read_scaled_score,avg_read_progress_score,avg_read_progress_score_upper_ci,avg_read_progress_score_lower_ci
201516,Ethnic major,Any other ethnic group,Girls,2595.0,5064.0,2741.0,266.0,5077.0,3130.0,781.0,1687.0,248.0,7.0,55.27,2.0,4792.0,487849.0,27815.91089108911,19170.791311120793,5077.0,3903.0,1436.0,921.0,242.0,7.0,52.4125,2.0,4823.0,508134.0,5077.0,3694.0,906.0,1161.0,212.0,6.0,51.705,2.0,4854.0,503266.0,27782.965346534653,-22117.72850581628,5064.0,3884.0,809.0,806.0,461.53960396039605,253.63861386138615,104.32673267326733,77.66336633663366,67.52475247524752,60.386138613861384,190.0,60.0,42.0,85.49009900990099,37.0,8.0,37.0,27932.569306930694,22440.29750501218,5064.0,4001.0,1022.0,7.0,34.0,54.0,5.0,62.0,15.0,33.0,5.0,0.0,0.6575,0.0,102.0,0.5300988038861386,0.8082567470940594,0.2519408606980198
201516,Ethnic major,Asian,Girls,6181.0,31382.0,18713.0,2467.0,31412.0,21129.0,5890.0,9423.0,772.0,21.0,55.27,8.0,30468.0,3132201.0,27815.91089108911,19170.791311120793,31411.0,26192.0,11156.0,4379.0,752.0,22.0,52.4125,5.0,30570.0,3261748.0,31411.0,23698.0,7035.0,6890.0,730.0,27.0,51.705,7.0,30582.0,3189401.0,27782.965346534653,-22117.72850581628,31382.0,26099.0,6466.0,3975.0,461.53960396039605,253.63861386138615,104.32673267326733,77.66336633663366,67.52475247524752,60.386138613861384,635.0,163.0,118.0,85.49009900990099,257.0,43.0,92.0,27932.569306930694,22440.29750501218,31385.0,26237.0,5010.0,44.0,94.0,60.0,8.0,67.0,19.0,30.0,2.0,0.0,0.6575,0.0,103.0,0.5300988038861386,0.8082567470940594,0.2519408606980198
201516,Ethnic major,Black,Girls,4468.0,16956.0,9309.0,828.0,16975.0,11273.0,2624.0,5250.0,427.0,12.0,55.27,4.0,16468.0,1684372.0,27815.91089108911,19170.791311120793,16974.0,13607.0,4680.0,2926.0,416.0,12.0,52.4125,4.0,16530.0,1742335.0,16975.0,11800.0,2214.0,4740.0,409.0,13.0,51.705,4.0,16537.0,1696857.0,27782.965346534653,-22117.72850581628,16956.0,13856.0,2999.0,2368.0,461.53960396039605,253.63861386138615,104.32673267326733,77.66336633663366,67.52475247524752,60.386138613861384,380.0,133.0,62.0,85.49009900990099,113.0,8.0,36.0,27932.569306930694,22440.29750501218,16955.0,13998.0,2907.0,10.0,40.0,55.0,5.0,66.0,15.0,31.0,3.0,0.0,0.6575,0.0,102.0,0.5300988038861386,0.8082567470940594,0.2519408606980198
201516,Ethnic major,Mixed,Girls,7321.0,15002.0,9026.0,1156.0,15014.0,11021.0,3669.0,3675.0,295.0,19.0,55.27,3.0,14654.0,1526098.0,27815.91089108911,19170.791311120793,15013.0,12074.0,4493.0,2634.0,283.0,16.0,52.4125,2.0,14708.0,1553636.0,15013.0,10650.0,2430.0,4046.0,291.0,21.0,51.705,3.0,14696.0,1513072.0,27782.965346534653,-22117.72850581628,15002.0,12407.0,3136.0,2031.0,461.53960396039605,253.63861386138615,104.32673267326733,77.66336633663366,67.52475247524752,60.386138613861384,316.0,93.0,57.0,85.49009900990099,76.0,7.0,15.0,27932.569306930694,22440.29750501218,15001.0,12594.0,2382.0,10.0,15.0,60.0,8.0,73.0,24.0,24.0,2.0,0.0,0.6575,0.0,104.0,0.5300988038861386,0.8082567470940594,0.2519408606980198
201516,Ethnic major,Unclassified,Girls,1875.0,2393.0,1075.0,97.0,2404.0,1377.0,442.0,685.0,320.0,5.0,55.27,17.0,2041.0,209123.0,27815.91089108911,19170.791311120793,2404.0,1538.0,486.0,530.0,314.0,6.0,52.4125,16.0,2068.0,214615.0,2404.0,1368.0,278.0,719.0,289.0,7.0,51.705,20.0,2087.0,212469.0,27782.965346534653,-22117.72850581628,2393.0,1531.0,344.0,461.0,461.53960396039605,253.63861386138615,104.32673267326733,77.66336633663366,67.52475247524752,60.386138613861384,120.0,57.0,48.0,85.49009900990099,47.0,44.0,85.0,27932.569306930694,22440.29750501218,2393.0,1621.0,637.0,49.0,86.0,45.0,4.0,57.0,18.0,28.0,13.0,0.0,0.6575,1.0,102.0,0.5300988038861386,0.8082567470940594,0.2519408606980198
201516,Ethnic major,White,Girls,15199.0,215808.0,123162.0,12958.0,215973.0,152391.0,48536.0,58563.0,4492.0,389.0,55.27,97.0,210062.0,21752347.0,27815.91089108911,19170.791311120793,215973.0,165468.0,54236.0,45662.0,4288.0,400.0,52.4125,92.0,211117.0,22096784.0,215967.0,148586.0,29718.0,62294.0,4481.0,467.0,51.705,99.0,210804.0,21618353.0,27782.965346534653,-22117.72850581628,215812.0,173129.0,40222.0,33015.0,461.53960396039605,253.63861386138615,104.32673267326733,77.66336633663366,67.52475247524752,60.386138613861384,5536.0,1750.0,953.0,85.49009900990099,1015.0,124.0,290.0,27932.569306930694,22440.29750501218,215810.0,179530.0,35815.0,141.0,324.0,57.0,6.0,71.0,22.0,27.0,2.0,0.0,0.6575,0.0,104.0,0.5300988038861386,0.8082567470940594,0.2519408606980198
201617,Ethnic major,Any other ethnic group,Girls,2636.0,5199.0,3177.0,460.0,5207.0,3471.0,1092.0,1455.0,234.0,8.0,29.0,12.757575757575758,4908.0,506561.0,27815.91089108911,19170.791311120793,5207.0,4166.0,1960.0,768.0,223.0,10.0,29.0,11.797979797979798,4933.0,530083.0,5207.0,3984.0,1188.0,975.0,200.0,10.0,27.0,13.121212121212121,4957.0,518916.0,27782.965346534653,-22117.72850581628,5200.0,4030.0,1013.0,773.0,461.53960396039605,253.63861386138615,104.32673267326733,77.66336633663366,67.52475247524752,60.386138613861384,200.0,64.0,43.0,85.49009900990099,39.0,15.0,36.0,27932.569306930694,22440.29750501218,5200.0,4098.0,1049.0,16.0,37.0,61.0,9.0,67.0,21.0,28.0,4.0,0.0,1.0,0.08080808080808081,103.0,0.5300988038861386,0.8082567470940594,0.2519408606980198
201617,Ethnic major,Asian,Girls,6297.0,32965.0,22105.0,4056.0,32989.0,23998.0,8270.0,8113.0,791.0,26.0,49.0,12.757575757575758,32071.0,3344616.0,27815.91089108911,19170.791311120793,32989.0,28797.0,16096.0,3347.0,744.0,28.0,48.0,11.797979797979798,32141.0,3511601.0,32988.0,26375.0,9765.0,5788.0,721.0,32.0,46.0,13.121212121212121,32152.0,3395244.0,27782.965346534653,-22117.72850581628,32967.0,27916.0,8188.0,3794.0,461.53960396039605,253.63861386138615,104.32673267326733,77.66336633663366,67.52475247524752,60.386138613861384,607.0,216.0,139.0,85.49009900990099,231.0,17.0,47.0,27932.569306930694,22440.29750501218,32966.0,27958.0,4933.0,19.0,56.0,67.0,12.0,73.0,25.0,25.0,2.0,0.0,0.0,0.08080808080808081,104.0,0.5300988038861386,0.8082567470940594,0.2519408606980198
201617,Ethnic major,Black,Girls,4659.0,17606.0,11353.0,1491.0,17625.0,12962.0,3983.0,4167.0,428.0,6.0,27.0,12.757575757575758,17099.0,1779739.0,27815.91089108911,19170.791311120793,17625.0,14909.0,7255.0,2221.0,413.0,9.0,30.0,11.797979797979798,17129.0,1850575.0,17625.0,13372.0,3604.0,3741.0,422.0,11.0,28.0,13.121212121212121,17103.0,1779733.0,27782.965346534653,-22117.72850581628,17610.0,14612.0,3649.0,2293.0,461.53960396039605,253.63861386138615,104.32673267326733,77.66336633663366,67.52475247524752,60.386138613861384,360.0,102.0,77.0,85.49009900990099,134.0,8.0,24.0,27932.569306930694,22440.29750501218,17609.0,14791.0,2782.0,8.0,28.0,64.0,8.0,74.0,23.0,24.0,2.0,0.0,0.0,0.08080808080808081,104.0,0.5300988038861386,0.8082567470940594,0.2519408606980198
201617,Ethnic major,Mixed,Girls,7614.0,16361.0,10923.0,1852.0,16371.0,12733.0,4988.0,3323.0,271.0,16.0,18.0,12.757575757575758,16030.0,1691245.0,27815.91089108911,19170.791311120793,16371.0,13672.0,6319.0,2393.0,261.0,18.0,13.0,11.797979797979798,16064.0,1726848.0,16370.0,12406.0,3545.0,3646.0,260.0,26.0,14.0,13.121212121212121,16042.0,1669264.0,27782.965346534653,-22117.72850581628,16364.0,13813.0,4027.0,2018.0,461.53960396039605,253.63861386138615,104.32673267326733,77.66336633663366,67.52475247524752,60.386138613861384,286.0,82.0,67.0,85.49009900990099,74.0,9.0,15.0,27932.569306930694,22440.29750501218,16363.0,13958.0,2377.0,10.0,18.0,67.0,11.0,78.0,30.0,20.0,2.0,0.0,0.0,0.08080808080808081,106.0,0.5300988038861386,0.8082567470940594,0.2519408606980198
