time_period,geographic_level,region_name,la_name,breakdown,characteristic_gender,characteristic_ethnic_major,characteristic_free_school_meals,characteristic_first_language,t_schools,t_pupils,t_att8,avg_att8,t_entbasics,pt_entbasics,t_l2basics_95,pt_l2basics_95,t_l2basics_94,pt_l2basics_94,t_ebacc_e_ptq_ee,pt_ebacc_e_ptq_ee,t_ebacc_95,pt_ebacc_95,t_ebacc_94,pt_ebacc_94,t_ebaccaps,avg_ebaccaps
202122,National,Not applicable,Not applicable,Ethnic major,Girls,Other,Total,Total,1531.0,5466.0,293703.5,53.7,5349.0,97.9,3130.0,57.3,4016.0,73.5,3241.0,59.3,1650.0,30.2,2168.0,39.7,26783.93,4.9
202122,National,Not applicable,Not applicable,Ethnic major,Girls,Asian,Total,Total,2417.0,32133.0,1846539.89,57.5,31601.0,98.3,20775.0,64.7,25755.0,80.2,18518.0,57.6,10931.0,34.0,13722.0,42.7,166524.5,5.18
202122,National,Not applicable,Not applicable,Ethnic major,Girls,Chinese,Total,Total,743.0,1171.0,81309.0,69.4,1153.0,98.5,1001.0,85.5,1093.0,93.3,783.0,66.9,617.0,52.7,691.0,59.0,7569.66,6.46
202122,National,Not applicable,Not applicable,Ethnic major,Girls,Black,Total,Total,2120.0,17860.0,939211.01,52.6,17518.0,98.1,9843.0,55.1,13252.0,74.2,9659.0,54.1,4619.0,25.9,6491.0,36.3,83573.02,4.68
202122,National,Not applicable,Not applicable,Ethnic major,Girls,Unclassified,Total,Total,1662.0,5231.0,237274.75,45.4,4881.0,93.3,2331.0,44.6,3256.0,62.2,2017.0,38.6,1041.0,19.9,1394.0,26.6,20825.54,3.98
202122,National,Not applicable,Not applicable,Ethnic major,Girls,Mixed,Total,Total,2923.0,16704.0,871118.63,52.2,16260.0,97.3,8790.0,52.6,11877.0,71.1,7864.0,47.1,4378.0,26.2,5671.0,33.9,76764.28,4.6
202122,National,Not applicable,Not applicable,Ethnic major,Girls,White,Total,Total,3695.0,207589.0,10458434.43,50.4,201451.0,97.0,105237.0,50.7,145983.0,70.3,83486.0,40.2,46253.0,22.3,60714.0,29.2,907012.01,4.37
202122,Regional,North East,Not applicable,Ethnic major,Girls,Asian,Total,Total,102.0,540.0,30515.5,56.5,526.0,97.4,327.0,60.6,431.0,79.8,293.0,54.3,186.0,34.4,240.0,44.4,2727.59,5.05
202122,Regional,North East,Not applicable,Ethnic major,Girls,Black,Total,Total,69.0,182.0,9741.5,53.5,181.0,99.5,88.0,48.4,129.0,70.9,98.0,53.8,57.0,31.3,77.0,42.3,869.63,4.78
202122,Regional,North East,Not applicable,Ethnic major,Girls,Chinese,Total,Total,30.0,44.0,3021.0,68.7,42.0,95.5,39.0,88.6,41.0,93.2,32.0,72.7,28.0,63.6,31.0,70.5,284.33,6.46
