time_period,characteristic_group,characteristic,gender,no_schools,t_rwm_eligible_pupils,t_rwm_met_expected_standard,t_rwm_met_higher_standard,t_read_eligible_pupils,t_read_met_expected_standard,t_read_met_higher_standard,t_read_not_achieved_expected_standard,t_read_working_below_assessment,t_read_absent,t_read_unable_to_access_or_just_arrived,t_read_unable_to_access,t_read_avg_scaled_score_eligible_pupils,t_read_sum_scaled_scores,t_read_progress_eligible_pupils,t_read_progress_score,t_gps_eligible_pupils,t_gps_met_expected_standard,t_gps_met_higher_standard,t_gps_not_achieved_expected_standard,t_gps_working_below_assessment,t_gps_absent,t_gps_unable_to_access_or_just_arrived,t_gps_unable_to_access,t_gps_avg_scaled_score_eligible_pupils,t_gps_sum_scaled_scores,t_mat_eligible_pupils,t_mat_met_expected_standard,t_mat_met_higher_standard,t_mat_not_achieved_expected_standard,t_mat_working_below_assessment,t_mat_absent,t_mat_unable_to_access_or_just_arrived,t_mat_unable_to_access,t_mat_avg_scaled_score_eligible_pupils,t_mat_sum_scaled_scores,t_mat_progress_eligible_pupils,t_mat_progress_score,t_writta_eligible_pupils,t_writta_met_expected_standard,t_writta_met_higher_standard,t_writta_working_towards_expected_standard,t_writta_pre_key_stage_standard_6,t_writta_pre_key_stage_standard_5,t_writta_pre_key_stage_standard_4,t_writta_pre_key_stage_standard_3,t_writta_pre_key_stage_standard_2,t_writta_pre_key_stage_standard_1,t_writta_growing_development_of_expected_standard,t_writta_early_development_of_expected_standard,t_writta_foundations_of_expected_standard,t_writta_engagement_model_or_below_pre_key_stage_standards,t_writta_below_interim_pre_key_stage_standards,t_writta_absent,t_writta_disapplied,t_writta_progress_eligible_pupils,t_writta_progress_score,t_scita_eligible_pupils,t_scita_met_expected_standard,t_scita_not_met_expected_standard,t_scita_absent,t_scita_disapplied,pt_rwm_met_expected_standard,pt_rwm_met_higher_standard,pt_read_met_expected_standard,pt_read_met_higher_standard,pt_read_not_achieved_expected_standard,pt_read_working_below_assessment,pt_read_absent,pt_read_unable_to_access_or_just_arrived,pt_read_unable_to_access,avg_read_scaled_score,avg_read_progress_score,avg_read_progress_score_upper_ci,avg_read_progress_score_lower_ci
201516,Free school meal status,FSM eligible,Girls,11463.0,44407.0,17392.0,841.0,44478.0,23738.0,4434.0,18493.0,2032.0,154.0,55.27,31.0,41807.0,4177276.0,27815.91089108911,19170.791311120793,44478.0,27959.0,6507.0,14367.0,1948.0,147.0,52.4125,28.0,42319.0,4317016.0,44476.0,24019.0,2962.0,18181.0,2046.0,167.0,51.705,30.0,42166.0,4216252.0,27782.965346534653,-22117.72850581628,44409.0,30049.0,4162.0,10261.0,461.53960396039605,253.63861386138615,104.32673267326733,77.66336633663366,67.52475247524752,60.386138613861384,2254.0,751.0,459.0,85.49009900990099,507.0,45.0,83.0,27932.569306930694,22440.29750501218,44406.0,31035.0,13211.0,52.0,108.0,39.0,2.0,53.0,10.0,42.0,5.0,0.0,0.6575,0.0,100.0,0.5300988038861386,0.8082567470940594,0.2519408606980198
201516,Free school meal status,Not known to be FSM eligible,Girls,15340.0,242198.0,146634.0,16931.0,242377.0,176583.0,57508.0,60790.0,4522.0,299.0,55.27,100.0,236678.0,24614714.0,27815.91089108911,19170.791311120793,242374.0,194823.0,69980.0,42685.0,4347.0,316.0,52.4125,93.0,237497.0,25060236.0,242371.0,175777.0,39619.0,61669.0,4366.0,374.0,51.705,105.0,237394.0,24517166.0,27782.965346534653,-22117.72850581628,242200.0,200857.0,49814.0,32395.0,461.53960396039605,253.63861386138615,104.32673267326733,77.66336633663366,67.52475247524752,60.386138613861384,4923.0,1505.0,821.0,85.49009900990099,1038.0,189.0,472.0,27932.569306930694,22440.29750501218,242202.0,206946.0,34562.0,209.0,485.0,61.0,7.0,73.0,24.0,25.0,2.0,0.0,0.6575,0.0,104.0,0.5300988038861386,0.8082567470940594,0.2519408606980198
201617,Free school meal status,FSM eligible,Girls,11560.0,44584.0,20997.0,1464.0,44657.0,26538.0,6208.0,15990.0,1846.0,153.0,95.0,12.757575757575758,42343.0,4286384.0,27815.91089108911,19170.791311120793,44656.0,30223.0,9495.0,12387.0,1774.0,152.0,89.0,11.797979797979798,42597.0,4421514.0,44652.0,26715.0,4348.0,15816.0,1818.0,169.0,93.0,13.121212121212121,42443.0,4278751.0,27782.965346534653,-22117.72850581628,44593.0,30783.0,4949.0,10091.0,461.53960396039605,253.63861386138615,104.32673267326733,77.66336633663366,67.52475247524752,60.386138613861384,2040.0,604.0,456.0,85.49009900990099,524.0,39.0,56.0,27932.569306930694,22440.29750501218,44591.0,31353.0,13112.0,51.0,75.0,47.0,3.0,59.0,14.0,36.0,4.0,0.0,0.0,0.08080808080808081,101.0,0.5300988038861386,0.8082567470940594,0.2519408606980198
201617,Free school meal status,Not known to be FSM eligible,Girls,15371.0,248575.0,169610.0,28397.0,248728.0,193309.0,75572.0,50292.0,4148.0,348.0,439.0,12.757575757575758,243253.0,25661592.0,27815.91089108911,19170.791311120793,248708.0,208461.0,94170.0,35245.0,3936.0,355.0,431.0,11.797979797979798,243680.0,26183633.0,248710.0,193850.0,56801.0,49829.0,3922.0,422.0,404.0,13.121212121212121,243555.0,25451018.0,27782.965346534653,-22117.72850581628,248594.0,211097.0,61439.0,29522.0,461.53960396039605,253.63861386138615,104.32673267326733,77.66336633663366,67.52475247524752,60.386138613861384,4240.0,1294.0,906.0,85.49009900990099,985.0,222.0,328.0,27932.569306930694,22440.29750501218,248585.0,214874.0,33135.0,238.0,338.0,68.0,11.0,78.0,30.0,20.0,2.0,0.0,0.0,0.08080808080808081,105.0,0.5300988038861386,0.8082567470940594,0.2519408606980198
201718,Free school meal status,FSM eligible,Girls,11595.0,44213.0,22573.0,1924.0,44253.0,28790.0,8092.0,13355.0,1729.0,171.0,92.0,12.757575757575758,42029.0,4315775.0,27815.91089108911,19170.791311120793,44251.0,30377.0,10778.0,11882.0,1665.0,175.0,89.0,11.797979797979798,42250.0,4390009.0,44242.0,26813.0,4733.0,15300.0,1708.0,210.0,83.0,13.121212121212121,42061.0,4250040.0,27782.965346534653,-22117.72850581628,44225.0,31517.0,5700.0,9609.0,461.53960396039605,253.63861386138615,104.32673267326733,77.66336633663366,67.52475247524752,60.386138613861384,1500.0,538.0,429.0,85.49009900990099,489.0,61.0,69.0,27932.569306930694,22440.29750501218,44214.0,31481.0,12584.0,57.0,92.0,51.0,4.0,65.0,18.0,30.0,4.0,0.0,0.0,0.08080808080808081,103.0,0.5300988038861386,0.8082567470940594,0.2519408606980198
201718,Free school meal status,Not known to be FSM eligible,Girls,15475.0,258556.0,184401.0,33043.0,258662.0,210743.0,90233.0,42797.0,4050.0,341.0,353.0,12.757575757575758,253353.0,26969621.0,27815.91089108911,19170.791311120793,258649.0,218279.0,107688.0,35504.0,3886.0,365.0,340.0,11.797979797979798,253756.0,27327802.0,258613.0,202964.0,60452.0,50505.0,3871.0,434.0,327.0,13.121212121212121,253382.0,26506292.0,27782.965346534653,-22117.72850581628,258607.0,223974.0,70759.0,27634.0,461.53960396039605,253.63861386138615,104.32673267326733,77.66336633663366,67.52475247524752,60.386138613861384,3294.0,1161.0,922.0,85.49009900990099,1136.0,187.0,269.0,27932.569306930694,22440.29750501218,258596.0,225518.0,32556.0,204.0,318.0,71.0,13.0,81.0,35.0,17.0,2.0,0.0,0.0,0.08080808080808081,106.0,0.5300988038861386,0.8082567470940594,0.2519408606980198
201819,Free school meal status,FSM eligible,Girls,12359.0,53142.0,28041.0,2616.0,53190.0,34100.0,9817.0,16753.0,2035.0,208.0,58.0,12.757575757575758,50716.0,5187370.0,50509.0,-13763.02819,53188.0,37043.0,13920.0,13872.0,1969.0,212.0,56.0,11.797979797979798,50889.0,5299908.0,53183.0,34374.0,6550.0,16441.0,2005.0,255.0,60.0,13.121212121212121,50729.0,5157793.0,50440.0,-80586.5528,53151.0,38310.0,7036.0,11601.0,1312.0,692.0,292.0,237.0,193.0,178.0,628.1582491582492,205.32996632996634,141.24915824915826,224.0,169.97306397306397,67.0,45.0,50938.0,10365.43879,53145.0,38868.0,14127.0,71.0,79.0,53.0,5.0,64.0,18.0,31.0,4.0,0.0,0.0,0.08080808080808081,102.0,-0.27248665,-0.218646156,-0.326327143
201819,Free school meal status,Not known to be FSM eligible,Girls,15582.0,262555.0,192153.0,37027.0,262657.0,212160.0,91013.0,45592.0,4159.0,364.0,284.0,12.757575757575758,257539.0,27333875.0,248742.0,200070.53,262640.0,223736.0,115054.0,34145.0,3975.0,385.0,281.0,11.797979797979798,257826.0,27853957.0,262641.0,215908.0,69991.0,41939.0,3934.0,448.0,270.0,13.121212121212121,257744.0,27152993.0,248589.0,-124852.5853,262575.0,228807.0,73196.0,27507.0,2436.0,1362.0,522.0,384.0,339.0,327.0,628.1582491582492,205.32996632996634,141.24915824915826,549.0,169.97306397306397,177.0,165.0,249520.0,237378.6523,262559.0,231836.0,30272.0,207.0,244.0,73.0,14.0,81.0,35.0,17.0,2.0,0.0,0.0,0.08080808080808081,106.0,0.804329506,0.828591073,0.780067939
202122,Free school meal status,FSM eligible,Girls,13900.0,81565.0,37384.0,2525.0,81867.0,55388.0,16836.0,22351.0,3284.0,612.0,232.0,12.757575757575758,77425.0,7981457.0,77206.0,-7365.343884,81769.0,51576.0,15299.0,26065.0,3224.0,691.0,213.0,11.797979797979798,77524.0,7965246.0,81848.0,44472.0,7588.0,33119.0,3263.0,776.0,218.0,13.121212121212121,77035.0,7709105.0,77015.0,-160750.1165,81610.0,50956.0,6190.0,24598.0,2486.0,1375.0,576.0,407.0,345.0,277.0,628.1582491582492,205.32996632996634,141.24915824915826,341.0,169.97306397306397,249.0,35.969849246231156,77682.0,7792.564377,81598.0,55822.0,25468.0,308.0,0.0,46.0,3.0,68.0,21.0,27.0,4.0,1.0,0.0,0.08080808080808081,103.0,-0.095398594,-0.051034826,-0.139762363
202122,Free school meal status,Not known to be FSM eligible,Girls,15760.0,242646.0,167087.0,25281.0,243201.0,204023.0,91359.0,33635.0,4002.0,823.0,716.0,12.757575757575758,237372.0,25359988.0,230057.0,271076.1479,242993.0,198357.0,87537.0,39144.0,3924.0,908.0,658.0,11.797979797979798,237248.0,25366939.0,243145.0,184927.0,56958.0,52617.0,3889.0,1048.0,664.0,13.121212121212121,237116.0,24735999.0,229787.0,-80698.03202,242805.0,197038.0,46092.0,38703.0,2705.0,1440.0,612.0,452.0,403.0,348.0,628.1582491582492,205.32996632996634,141.24915824915826,481.0,169.97306397306397,623.0,35.969849246231156,230699.0,268142.5679,242796.0,208643.0,33428.0,725.0,0.0,69.0,10.0,84.0,38.0,14.0,2.0,0.0,0.0,0.08080808080808081,107.0,1.178299934,1.204000118,1.15259975
