time_period,geographic_level,region_name,la_name,breakdown,characteristic_gender,characteristic_ethnic_major,characteristic_free_school_meals,characteristic_first_language,t_schools,t_pupils,t_att8,avg_att8,t_entbasics,pt_entbasics,t_l2basics_95,pt_l2basics_95,t_l2basics_94,pt_l2basics_94,t_ebacc_e_ptq_ee,pt_ebacc_e_ptq_ee,t_ebacc_95,pt_ebacc_95,t_ebacc_94,pt_ebacc_94,t_ebaccaps,avg_ebaccaps
202122,National,Not applicable,Not applicable,Free school meals,Girls,Total,FSM,Total,3626.0,59356.0,2350201.26,39.6,55664.0,93.8,18224.0,30.7,29648.0,49.9,18174.0,30.6,6581.0,11.1,9953.0,16.8,198331.58,3.34
202122,National,Not applicable,Not applicable,Free school meals,Girls,Total,FSM all other,Total,3662.0,226798.0,12377389.95,54.6,222549.0,98.1,132883.0,58.6,175584.0,77.4,107394.0,47.4,62908.0,27.7,80898.0,35.7,1090721.36,4.81
202122,Regional,North East,Not applicable,Free school meals,Girls,Total,FSM,Total,183.0,3549.0,134700.25,38.0,3329.0,93.8,919.0,25.9,1598.0,45.0,859.0,24.2,333.0,9.4,501.0,14.1,11029.4,3.11
202122,Regional,North East,Not applicable,Free school meals,Girls,Total,FSM all other,Total,181.0,10082.0,537650.75,53.3,9815.0,97.4,5658.0,56.1,7667.0,76.0,4471.0,44.3,2706.0,26.8,3495.0,34.7,46690.37,4.63
202122,Regional,North West,Not applicable,Free school meals,Girls,Total,FSM all other,Total,515.0,30201.0,1613007.25,53.4,29619.0,98.1,17060.0,56.5,22873.0,75.7,13521.0,44.8,7592.0,25.1,9868.0,32.7,140808.21,4.66
202122,Regional,North West,Not applicable,Free school meals,Girls,Total,FSM,Total,504.0,9508.0,362491.0,38.1,8885.0,93.4,2616.0,27.5,4415.0,46.4,2587.0,27.2,830.0,8.7,1318.0,13.9,30114.18,3.17
202122,Regional,Yorkshire and The Humber,Not applicable,Free school meals,Girls,Total,FSM,Total,356.0,6701.0,253397.5,37.8,6298.0,94.0,1955.0,29.2,3209.0,47.9,1831.0,27.3,625.0,9.3,957.0,14.3,21218.73,3.17
202122,Regional,Yorkshire and The Humber,Not applicable,Free school meals,Girls,Total,FSM all other,Total,359.0,22691.0,1203887.25,53.1,22277.0,98.2,12973.0,57.2,17223.0,75.9,9994.0,44.0,5725.0,25.2,7414.0,32.7,105345.4,4.64
202122,Regional,East Midlands,Not applicable,Free school meals,Girls,Total,FSM,Total,333.0,4801.0,181750.5,37.9,4486.0,93.4,1306.0,27.2,2259.0,47.1,1138.0,23.7,404.0,8.4,629.0,13.1,15206.65,3.17
202122,Regional,East Midlands,Not applicable,Free school meals,Girls,Total,FSM all other,Total,328.0,20159.0,1081863.0,53.7,19846.0,98.4,11404.0,56.6,15522.0,77.0,9136.0,45.3,5310.0,26.3,6972.0,34.6,95382.21,4.73
202122,Regional,West Midlands,Not applicable,Free school meals,Girls,Total,FSM all other,Total,432.0,24724.0,1324614.78,53.6,24289.0,98.2,13898.0,56.2,18634.0,75.4,10935.0,44.2,6092.0,24.6,8017.0,32.4,115195.01,4.66
202122,Regional,West Midlands,Not applicable,Free school meals,Girls,Total,FSM,Total,433.0,7788.0,315802.5,40.5,7380.0,94.8,2437.0,31.3,3940.0,50.6,2308.0,29.6,809.0,10.4,1241.0,15.9,26347.03,3.38
202122,Regional,East of England,Not applicable,Free school meals,Girls,Total,FSM,Total,408.0,5060.0,190221.75,37.6,4707.0,93.0,1341.0,26.5,2384.0,47.1,1273.0,25.2,430.0,8.5,676.0,13.4,15914.2,3.15
202122,Regional,East of England,Not applicable,Free school meals,Girls,Total,FSM all other,Total,413.0,26892.0,1467688.25,54.6,26392.0,98.1,15651.0,58.2,20897.0,77.7,12429.0,46.2,7471.0,27.8,9550.0,35.5,129315.92,4.81
202122,Regional,London,Not applicable,Free school meals,Girls,Total,FSM,Total,514.0,10674.0,496902.38,46.6,10199.0,95.5,4745.0,44.5,6714.0,62.9,5569.0,52.2,2232.0,20.9,3246.0,30.4,44081.09,4.13
202122,Regional,London,Not applicable,Free school meals,Girls,Total,FSM all other,Total,522.0,31774.0,1840405.41,57.9,31205.0,98.2,20781.0,65.4,25765.0,81.1,20013.0,63.0,11486.0,36.1,14638.0,46.1,167305.58,5.27
