time_period,characteristic_group,characteristic,gender,no_schools,t_rwm_eligible_pupils,t_rwm_met_expected_standard,t_rwm_met_higher_standard,t_read_eligible_pupils,t_read_met_expected_standard,t_read_met_higher_standard,t_read_not_achieved_expected_standard,t_read_working_below_assessment,t_read_absent,t_read_unable_to_access_or_just_arrived,t_read_unable_to_access,t_read_avg_scaled_score_eligible_pupils,t_read_sum_scaled_scores,t_read_progress_eligible_pupils,t_read_progress_score,t_gps_eligible_pupils,t_gps_met_expected_standard,t_gps_met_higher_standard,t_gps_not_achieved_expected_standard,t_gps_working_below_assessment,t_gps_absent,t_gps_unable_to_access_or_just_arrived,t_gps_unable_to_access,t_gps_avg_scaled_score_eligible_pupils,t_gps_sum_scaled_scores,t_mat_eligible_pupils,t_mat_met_expected_standard,t_mat_met_higher_standard,t_mat_not_achieved_expected_standard,t_mat_working_below_assessment,t_mat_absent,t_mat_unable_to_access_or_just_arrived,t_mat_unable_to_access,t_mat_avg_scaled_score_eligible_pupils,t_mat_sum_scaled_scores,t_mat_progress_eligible_pupils,t_mat_progress_score,t_writta_eligible_pupils,t_writta_met_expected_standard,t_writta_met_higher_standard,t_writta_working_towards_expected_standard,t_writta_pre_key_stage_standard_6,t_writta_pre_key_stage_standard_5,t_writta_pre_key_stage_standard_4,t_writta_pre_key_stage_standard_3,t_writta_pre_key_stage_standard_2,t_writta_pre_key_stage_standard_1,t_writta_growing_development_of_expected_standard,t_writta_early_development_of_expected_standard,t_writta_foundations_of_expected_standard,t_writta_engagement_model_or_below_pre_key_stage_standards,t_writta_below_interim_pre_key_stage_standards,t_writta_absent,t_writta_disapplied,t_writta_progress_eligible_pupils,t_writta_progress_score,t_scita_eligible_pupils,t_scita_met_expected_standard,t_scita_not_met_expected_standard,t_scita_absent,t_scita_disapplied,pt_rwm_met_expected_standard,pt_rwm_met_higher_standard,pt_read_met_expected_standard,pt_read_met_higher_standard,pt_read_not_achieved_expected_standard,pt_read_working_below_assessment,pt_read_absent,pt_read_unable_to_access_or_just_arrived,pt_read_unable_to_access,avg_read_scaled_score,avg_read_progress_score,avg_read_progress_score_upper_ci,avg_read_progress_score_lower_ci
201516,First language,Known or believed to be English,Girls,15338.0,230923.0,134188.0,14398.0,231082.0,165993.0,52979.0,60568.0,3993.0,403.0,55.27,81.0,225771.0,23422769.0,27815.91089108911,19170.791311120793,231081.0,179902.0,60287.0,46809.0,3821.0,410.0,52.4125,76.0,226698.0,23777964.0,231077.0,160125.0,32550.0,66181.0,4160.0,483.0,51.705,83.0,226235.0,23216385.0,27782.965346534653,-22117.72850581628,230927.0,187706.0,44207.0,34118.0,461.53960396039605,253.63861386138615,104.32673267326733,77.66336633663366,67.52475247524752,60.386138613861384,5309.0,1627.0,902.0,85.49009900990099,1042.0,96.0,127.0,27932.569306930694,22440.29750501218,230924.0,193956.0,36679.0,115.0,174.0,58.0,6.0,72.0,23.0,26.0,2.0,0.0,0.6575,0.0,104.0,0.5300988038861386,0.8082567470940594,0.2519408606980198
201516,First language,Known or believed to be other than English,Girls,8362.0,54657.0,29546.0,3349.0,54739.0,33914.0,8858.0,18406.0,2270.0,47.0,55.27,33.0,52008.0,5298508.0,27815.91089108911,19170.791311120793,54737.0,42403.0,16066.0,9992.0,2187.0,50.0,52.4125,29.0,52390.0,5525055.0,54736.0,39244.0,9950.0,13347.0,1990.0,54.0,51.705,33.0,52576.0,5441981.0,27782.965346534653,-22117.72850581628,54657.0,42742.0,9684.0,8323.0,461.53960396039605,253.63861386138615,104.32673267326733,77.66336633663366,67.52475247524752,60.386138613861384,1771.0,582.0,338.0,85.49009900990099,461.0,90.0,350.0,27932.569306930694,22440.29750501218,54659.0,43542.0,10685.0,92.0,340.0,54.0,6.0,62.0,16.0,34.0,4.0,0.0,0.6575,0.0,102.0,0.5300988038861386,0.8082567470940594,0.2519408606980198
201516,First language,Language unclassified,Girls,867.0,1025.0,292.0,25.0,1034.0,414.0,105.0,309.0,291.0,3.0,55.27,17.0,706.0,70713.0,27815.91089108911,19170.791311120793,1034.0,477.0,134.0,251.0,287.0,3.0,52.4125,16.0,728.0,74233.0,1034.0,427.0,81.0,322.0,262.0,4.0,51.705,19.0,749.0,75052.0,27782.965346534653,-22117.72850581628,1025.0,458.0,85.0,215.0,461.53960396039605,253.63861386138615,104.32673267326733,77.66336633663366,67.52475247524752,60.386138613861384,97.0,47.0,40.0,85.49009900990099,42.0,48.0,78.0,27932.569306930694,22440.29750501218,1025.0,483.0,409.0,54.0,79.0,28.0,2.0,40.0,10.0,30.0,28.0,0.0,0.6575,2.0,100.0,0.5300988038861386,0.8082567470940594,0.2519408606980198
201617,First language,Known or believed to be English,Girls,15383.0,234430.0,154561.0,24174.0,234586.0,180141.0,68989.0,49897.0,3760.0,433.0,195.0,12.757575757575758,229671.0,24169240.0,27815.91089108911,19170.791311120793,234566.0,190997.0,79910.0,39116.0,3596.0,441.0,187.0,11.797979797979798,230092.0,24550562.0,234565.0,176054.0,46947.0,53749.0,3835.0,501.0,193.0,13.121212121212121,229623.0,23832843.0,27782.965346534653,-22117.72850581628,234452.0,195424.0,54256.0,31163.0,461.53960396039605,253.63861386138615,104.32673267326733,77.66336633663366,67.52475247524752,60.386138613861384,4403.0,1278.0,946.0,85.49009900990099,1044.0,87.0,107.0,27932.569306930694,22440.29750501218,234443.0,199038.0,35164.0,110.0,131.0,66.0,10.0,77.0,29.0,21.0,2.0,0.0,0.0,0.08080808080808081,105.0,0.5300988038861386,0.8082567470940594,0.2519408606980198
201617,First language,Known or believed to be other than English,Girls,8627.0,58069.0,35851.0,5658.0,58131.0,39467.0,12710.0,16221.0,2081.0,67.0,229.0,12.757575757575758,55529.0,5738758.0,27815.91089108911,19170.791311120793,58130.0,47403.0,23638.0,8397.0,1961.0,65.0,224.0,11.797979797979798,55784.0,6012754.0,58129.0,44235.0,14138.0,11744.0,1772.0,89.0,200.0,13.121212121212121,55947.0,5853349.0,27782.965346534653,-22117.72850581628,58075.0,46195.0,12070.0,8331.0,461.53960396039605,253.63861386138615,104.32673267326733,77.66336633663366,67.52475247524752,60.386138613861384,1801.0,585.0,389.0,85.49009900990099,447.0,98.0,229.0,27932.569306930694,22440.29750501218,58073.0,46919.0,10819.0,101.0,234.0,62.0,10.0,68.0,22.0,28.0,4.0,0.0,0.0,0.08080808080808081,103.0,0.5300988038861386,0.8082567470940594,0.2519408606980198
201617,First language,Language unclassified,Girls,582.0,660.0,195.0,29.0,668.0,239.0,81.0,164.0,153.0,1.0,110.0,12.757575757575758,396.0,39978.0,27815.91089108911,19170.791311120793,668.0,284.0,117.0,119.0,153.0,1.0,109.0,11.797979797979798,401.0,41831.0,668.0,276.0,64.0,152.0,133.0,1.0,104.0,13.121212121212121,428.0,43577.0,27782.965346534653,-22117.72850581628,660.0,261.0,62.0,119.0,461.53960396039605,253.63861386138615,104.32673267326733,77.66336633663366,67.52475247524752,60.386138613861384,76.0,35.0,27.0,85.49009900990099,18.0,76.0,48.0,27932.569306930694,22440.29750501218,660.0,270.0,264.0,78.0,48.0,30.0,4.0,36.0,12.0,25.0,23.0,0.0,16.0,0.08080808080808081,101.0,0.5300988038861386,0.8082567470940594,0.2519408606980198
201718,First language,Known or believed to be English,Girls,15483.0,240066.0,165553.0,27738.0,240167.0,193376.0,81236.0,42068.0,3749.0,469.0,192.0,12.757575757575758,235245.0,24981822.0,27815.91089108911,19170.791311120793,240160.0,197552.0,90563.0,38106.0,3601.0,485.0,177.0,11.797979797979798,235642.0,25200131.0,240124.0,181705.0,49517.0,53436.0,3789.0,573.0,183.0,13.121212121212121,235043.0,24430101.0,27782.965346534653,-22117.72850581628,240111.0,204687.0,62005.0,28752.0,461.53960396039605,253.63861386138615,104.32673267326733,77.66336633663366,67.52475247524752,60.386138613861384,3222.0,1111.0,923.0,85.49009900990099,1141.0,112.0,120.0,27932.569306930694,22440.29750501218,240093.0,205878.0,33911.0,121.0,183.0,69.0,12.0,81.0,34.0,18.0,2.0,0.0,0.0,0.08080808080808081,106.0,0.5300988038861386,0.8082567470940594,0.2519408606980198
201718,First language,Known or believed to be other than English,Girls,8967.0,61713.0,41079.0,7187.0,61752.0,45728.0,16912.0,13837.0,1810.0,40.0,157.0,12.757575757575758,59471.0,6235263.0,27815.91089108911,19170.791311120793,61742.0,50655.0,27704.0,9054.0,1730.0,49.0,155.0,11.797979797979798,59692.0,6448142.0,61735.0,47638.0,15567.0,12113.0,1583.0,63.0,139.0,13.121212121212121,59713.0,6256818.0,27782.965346534653,-22117.72850581628,61731.0,50361.0,14361.0,8289.0,461.53960396039605,253.63861386138615,104.32673267326733,77.66336633663366,67.52475247524752,60.386138613861384,1488.0,535.0,379.0,85.49009900990099,438.0,74.0,167.0,27932.569306930694,22440.29750501218,61727.0,50660.0,10819.0,72.0,176.0,67.0,12.0,74.0,27.0,22.0,3.0,0.0,0.0,0.08080808080808081,105.0,0.5300988038861386,0.8082567470940594,0.2519408606980198
201718,First language,Language unclassified,Girls,838.0,990.0,342.0,42.0,996.0,429.0,177.0,247.0,220.0,3.0,96.0,12.757575757575758,666.0,68311.0,27815.91089108911,19170.791311120793,998.0,449.0,199.0,226.0,220.0,6.0,97.0,11.797979797979798,672.0,69538.0,996.0,434.0,101.0,256.0,207.0,8.0,88.0,13.121212121212121,687.0,69413.0,27782.965346534653,-22117.72850581628,990.0,443.0,93.0,202.0,461.53960396039605,253.63861386138615,104.32673267326733,77.66336633663366,67.52475247524752,60.386138613861384,84.0,53.0,49.0,85.49009900990099,46.0,62.0,51.0,27932.569306930694,22440.29750501218,990.0,461.0,410.0,68.0,51.0,35.0,4.0,43.0,18.0,25.0,22.0,0.0,10.0,0.08080808080808081,103.0,0.5300988038861386,0.8082567470940594,0.2519408606980198
201819,First language,Known or believed to be English,Girls,15608.0,248302.0,174220.0,30917.0,248395.0,196411.0,81444.0,47345.0,3921.0,517.0,126.0,12.757575757575758,243534.0,25742638.0,242428.0,108959.1592,248377.0,204710.0,97010.0,39146.0,3767.0,517.0,122.0,11.797979797979798,243803.0,26109664.0,248374.0,196039.0,57135.0,47499.0,3950.0,635.0,126.0,13.121212121212121,243395.0,25441951.0,242216.0,-278089.5232,248329.0,211838.0,64203.0,30331.0,2623.0,1303.0,492.0,411.0,355.0,337.0,628.1582491582492,205.32996632996634,141.24915824915826,491.0,169.97306397306397,105.0,43.0,243457.0,140892.0812,248308.0,214750.0,33302.0,118.0,138.0,70.0,12.0,79.0,33.0,19.0,2.0,0.0,0.0,0.08080808080808081,106.0,0.449449565,0.474025046,0.424874084
