time_period,geographic_level,region_name,la_name,breakdown,characteristic_gender,characteristic_ethnic_major,characteristic_free_school_meals,characteristic_first_language,t_schools,t_pupils,t_att8,avg_att8,t_entbasics,pt_entbasics,t_l2basics_95,pt_l2basics_95,t_l2basics_94,pt_l2basics_94,t_ebacc_e_ptq_ee,pt_ebacc_e_ptq_ee,t_ebacc_95,pt_ebacc_95,t_ebacc_94,pt_ebacc_94,t_ebaccaps,avg_ebaccaps
202122,National,Not applicable,Not applicable,First language,Girls,Total,Total,Other than English,3039.0,47757.0,2582062.76,54.1,46776.0,97.9,27477.0,57.5,35660.0,74.7,27290.0,57.1,14223.0,29.8,18769.0,39.3,233500.7,4.89
202122,National,Not applicable,Not applicable,First language,Girls,Total,Total,English,3733.0,236799.0,12091248.95,51.1,230070.0,97.2,123116.0,52.0,168830.0,71.3,97873.0,41.3,55062.0,23.3,71822.0,30.3,1050828.61,4.44
202122,Regional,North East,Not applicable,First language,Girls,Total,Total,Other than English,127.0,808.0,41873.0,51.8,786.0,97.3,412.0,51.0,564.0,69.8,406.0,50.2,242.0,30.0,309.0,38.2,3748.51,4.64
202122,Regional,North East,Not applicable,First language,Girls,Total,Total,English,188.0,12678.0,628932.0,49.6,12282.0,96.9,6146.0,48.5,8671.0,68.4,4918.0,38.8,2793.0,22.0,3683.0,29.1,53840.6,4.25
202122,Regional,North West,Not applicable,First language,Girls,Total,Total,English,527.0,34170.0,1687002.5,49.4,33094.0,96.9,16717.0,48.9,23370.0,68.4,13303.0,38.9,6992.0,20.5,9306.0,27.2,145074.4,4.25
202122,Regional,North West,Not applicable,First language,Girls,Total,Total,Other than English,414.0,5386.0,283733.0,52.7,5278.0,98.0,2914.0,54.1,3856.0,71.6,2768.0,51.4,1413.0,26.2,1859.0,34.5,25435.65,4.72
202122,Regional,Yorkshire and The Humber,Not applicable,First language,Girls,Total,Total,English,362.0,24929.0,1246656.5,50.0,24286.0,97.4,12801.0,51.3,17551.0,70.4,9797.0,39.3,5431.0,21.8,7102.0,28.5,107934.8,4.33
202122,Regional,Yorkshire and The Humber,Not applicable,First language,Girls,Total,Total,Other than English,301.0,4140.0,203247.75,49.1,4007.0,96.8,2079.0,50.2,2797.0,67.6,1993.0,48.1,901.0,21.8,1245.0,30.1,17978.14,4.34
202122,Regional,East Midlands,Not applicable,First language,Girls,Total,Total,English,337.0,21547.0,1083292.75,50.3,20985.0,97.4,10907.0,50.6,15305.0,71.0,8505.0,39.5,4759.0,22.1,6328.0,29.4,94279.7,4.38
202122,Regional,East Midlands,Not applicable,First language,Girls,Total,Total,Other than English,257.0,3329.0,176628.5,53.1,3265.0,98.1,1769.0,53.1,2422.0,72.8,1749.0,52.5,945.0,28.4,1259.0,37.8,15992.18,4.8
202122,Regional,West Midlands,Not applicable,First language,Girls,Total,Total,English,440.0,26361.0,1320252.52,50.1,25660.0,97.3,13004.0,49.3,18184.0,69.0,10118.0,38.4,5408.0,20.5,7212.0,27.4,113188.83,4.29
202122,Regional,West Midlands,Not applicable,First language,Girls,Total,Total,Other than English,358.0,5992.0,314493.76,52.5,5877.0,98.1,3277.0,54.7,4307.0,71.9,3086.0,51.5,1477.0,24.6,2023.0,33.8,27870.39,4.65
202122,Regional,East of England,Not applicable,First language,Girls,Total,Total,Other than English,348.0,3916.0,211141.25,53.9,3827.0,97.7,2184.0,55.8,2907.0,74.2,2126.0,54.3,1162.0,29.7,1507.0,38.5,19069.1,4.87
202122,Regional,East of England,Not applicable,First language,Girls,Total,Total,English,420.0,27912.0,1440744.0,51.6,27157.0,97.3,14747.0,52.8,20297.0,72.7,11512.0,41.2,6704.0,24.0,8675.0,31.1,125617.36,4.5
202122,Regional,London,Not applicable,First language,Girls,Total,Total,English,529.0,24900.0,1363365.54,54.8,24200.0,97.2,14760.0,59.3,18879.0,75.8,14053.0,56.4,7830.0,31.4,10089.0,40.5,122110.1,4.9
202122,Regional,London,Not applicable,First language,Girls,Total,Total,Other than English,495.0,17248.0,961819.5,55.8,16948.0,98.3,10645.0,61.7,13433.0,77.9,11401.0,66.1,5831.0,33.8,7722.0,44.8,88193.65,5.11
202122,Regional,Inner London,Not applicable,First language,Girls,Total,Total,Other than English,182.0,6824.0,377747.0,55.4,6713.0,98.4,4203.0,61.6,5336.0,78.2,4760.0,69.8,2340.0,34.3,3112.0,45.6,34759.29,5.09
202122,Regional,Inner London,Not applicable,First language,Girls,Total,Total,English,196.0,7548.0,405176.75,53.7,7335.0,97.2,4329.0,57.4,5628.0,74.6,4508.0,59.7,2288.0,30.3,3055.0,40.5,36423.44,4.83
202122,Regional,Outer London,Not applicable,First language,Girls,Total,Total,Other than English,313.0,10424.0,584072.5,56.0,10235.0,98.2,6442.0,61.8,8097.0,77.7,6641.0,63.7,3491.0,33.5,4610.0,44.2,53434.36,5.13
202122,Regional,Outer London,Not applicable,First language,Girls,Total,Total,English,333.0,17352.0,958188.79,55.2,16865.0,97.2,10431.0,60.1,13251.0,76.4,9545.0,55.0,5542.0,31.9,7034.0,40.5,85686.66,4.94
202122,Regional,South East,Not applicable,First language,Girls,Total,Total,English,565.0,39688.0,2063843.51,52.0,38514.0,97.0,21272.0,53.6,28845.0,72.7,16824.0,42.4,10090.0,25.4,12796.0,32.2,180421.54,4.55
202122,Regional,South East,Not applicable,First language,Girls,Total,Total,Other than English,468.0,5263.0,298027.75,56.6,5156.0,98.0,3238.0,61.5,4116.0,78.2,2906.0,55.2,1746.0,33.2,2208.0,42.0,27005.2,5.13
202122,Regional,South West,Not applicable,First language,Girls,Total,Total,English,365.0,24614.0,1257159.63,51.1,23892.0,97.1,12762.0,51.8,17728.0,72.0,8843.0,35.9,5055.0,20.5,6631.0,26.9,108361.28,4.4
202122,Regional,South West,Not applicable,First language,Girls,Total,Total,Other than English,271.0,1675.0,91098.25,54.4,1632.0,97.4,959.0,57.3,1258.0,75.1,855.0,51.0,506.0,30.2,637.0,38.0,8207.88,4.9
202122,Local authority,North East,County Durham,First language,Girls,Total,Total,English,38.0,2443.0,123822.5,50.7,2376.0,97.3,1172.0,48.0,1672.0,68.4,848.0,34.7,509.0,20.8,665.0,27.2,10409.8,4.26
202122,Local authority,North East,County Durham,First language,Girls,Total,Total,Other than English,20.0,54.0,2900.75,53.7,53.0,98.1,26.0,48.1,37.0,68.5,23.0,42.6,14.0,25.9,20.0,37.0,254.16,4.71
202122,Local authority,North East,Darlington,First language,Girls,Total,Total,English,9.0,563.0,27411.75,48.7,546.0,97.0,266.0,47.2,375.0,66.6,222.0,39.4,104.0,18.5,149.0,26.5,2331.0,4.14
202122,Local authority,North East,Darlington,First language,Girls,Total,Total,Other than English,8.0,34.0,1864.75,54.8,34.0,100.0,20.0,58.8,23.0,67.6,23.0,67.6,12.0,35.3,16.0,47.1,170.51,5.02
